Site ID,latitude,longitude,IGBP
US-Myb,38.0498,-121.7651,WET
US-NR1,40.0329,-105.5464,ENF
US-Ne1,41.1651,-96.4766,CRO
US-Ne2,41.1649,-96.4701,CRO
US-Ne3,41.1797,-96.4397,CRO
US-ORv,40.0201,-83.0183,WET
US-Oho,41.5545,-83.8438,DBF
US-PFa,45.9459,-90.2723,MF
US-Prr,65.1237,-147.4876,ENF
US-SRC,31.9083,-110.8395,OSH
US-SRG,31.7894,-110.8277,GRA
US-SRM,31.8214,-110.8661,WSA
US-Sta,41.3966,-106.8024,OSH
US-Syv,46.242,-89.3477,MF
US-Ton,38.4316,-120.966,WSA
US-Tw1,38.1074,-121.6469,WET
US-Tw2,38.1047,-121.6433,CRO
US-Tw3,38.1159,-121.6467,CRO
US-Tw4,38.103,-121.6414,WET
US-Twt,38.1087,-121.653,CRO
US-UMB,45.5598,-84.7138,DBF
US-UMd,45.5625,-84.6975,DBF
US-Var,38.4133,-120.9507,GRA
US-WCr,45.8059,-90.0799,DBF
US-WPT,41.4646,-82.9962,WET
US-Whs,31.7438,-110.0522,OSH
US-Wi0,46.6188,-91.0814,ENF
US-Wi1,46.7305,-91.2329,DBF
US-Wi2,46.6869,-91.1528,ENF
US-Wi3,46.6347,-91.0987,DBF
US-Wi4,46.7393,-91.1663,ENF
US-Wi5,46.6531,-91.0858,ENF
US-Wi6,46.6249,-91.2982,OSH
US-Wi7,46.6491,-91.0693,OSH
US-Wi8,46.7223,-91.2524,DBF
US-Wi9,46.6188,-91.0814,ENF
US-Wkg,31.7365,-109.9419,GRA
ZA-Kru,-25.0197,31.4969,SAV
ZM-Mon,-15.43777778,23.25277778,DBF
