model_id,name,initial,default,optimized,lower,upper,timescale_run,units,timescale_ori,units_ori,model,model_approach,approach_func,name_full,is_ml,dist,p_dist
40,c_τ_SoilOld,1.2328767e-5,1.2328767e-5,9.981541e-5,1.2328767e-6,0.00012328767,day,day-1,year,year-1,cCycleBase,cCycleBase_GSI,cCycleBase_GSI,cCycleBase.c_τ_SoilOld,true,normal,"Float32[0.0, 1.0]"
40,ηH,1.0,1.0,59.216854,0.01,100.0,,,,,cCycleBase,cCycleBase_GSI,cCycleBase_GSI,cCycleBase.ηH,true,normal,"Float32[0.0, 1.0]"
40,c_remain,10.0,10.0,43.660995,0.1,100.0,,,,,cCycleBase,cCycleBase_GSI,cCycleBase_GSI,cCycleBase.c_remain,true,normal,"Float32[0.0, 1.0]"
42,Q10,1.4,1.4,2.9999733,1.05,3.0,,,,,cTauSoilT,cTauSoilT_Q10,cTauSoilT_Q10,cTauSoilT.Q10,true,normal,"Float32[0.0, 1.0]"
43,opt_soilW,90.0,90.0,94.24928,60.0,95.0,,percent degree of saturation,,percent degree of saturation,cTauSoilW,cTauSoilW_GSI,cTauSoilW_GSI,cTauSoilW.opt_soilW,true,normal,"Float32[0.0, 1.0]"
48,Q10,2.0,2.0,2.9821243,1.05,3.0,,,,,autoRespirationAirT,autoRespirationAirT_Q10,autoRespirationAirT_Q10,autoRespirationAirT.Q10,true,normal,"Float32[0.0, 1.0]"
56,RMN,0.009085714,0.009085714,0.039215233,0.0009085714,0.09085714,day,gC/gN/day,day,gC/gN/day,autoRespiration,autoRespiration_Thornley2000A,autoRespiration_Thornley2000A,autoRespiration.RMN,true,normal,"Float32[0.0, 1.0]"
56,YG,0.75,0.75,0.24667251,0.0,1.0,,gC/gC,,gC/gC,autoRespiration,autoRespiration_Thornley2000A,autoRespiration_Thornley2000A,autoRespiration.YG,true,normal,"Float32[0.0, 1.0]"
59,slope_leaf_root_to_reserve,0.14,0.14,0.034430023,0.033,0.33,day,fraction,day,fraction,cFlow,cFlow_GSI,cFlow_GSI,cFlow.slope_leaf_root_to_reserve,true,normal,"Float32[0.0, 1.0]"
59,slope_reserve_to_leaf_root,0.14,0.14,0.033043195,0.033,0.33,day,fraction,day,fraction,cFlow,cFlow_GSI,cFlow_GSI,cFlow.slope_reserve_to_leaf_root,true,normal,"Float32[0.0, 1.0]"
59,k_shedding,0.14,0.14,0.18521664,0.033,0.33,day,fraction,day,fraction,cFlow,cFlow_GSI,cFlow_GSI,cFlow.k_shedding,true,normal,"Float32[0.0, 1.0]"
59,f_τ,0.03,0.03,0.09999974,0.01,0.1,day,fraction,day,fraction,cFlow,cFlow_GSI,cFlow_GSI,cFlow.f_τ,true,normal,"Float32[0.0, 1.0]"
